Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,MinimalTextBlock,Standard,1,,53,,,,,Possible LAN/USB ports
3,Right Arrow,Geometric Shapes,1,,52,,,,,
4,Right Arrow,Geometric Shapes,1,,52,,,,,
5,Right Arrow,Geometric Shapes,1,,52,,,,,
6,Right Arrow,Geometric Shapes,1,,54,,,,,
7,MinimalTextBlock,Standard,1,,54,,,,,Power
8,Right Arrow,Geometric Shapes,1,,55,,,,,
9,Right Arrow,Geometric Shapes,1,,55,,,,,
10,Right Arrow,Geometric Shapes,1,,55,,,,,
11,MinimalTextBlock,Standard,1,,55,,,,,Sensor connectors
12,Rectangle,Geometric Shapes,1,,,,,,,
13,Rectangle,Geometric Shapes,1,,,,,,,
14,Rectangle,Geometric Shapes,1,,,,,,,
15,Circle,Geometric Shapes,1,,,,,,,
16,Circle,Geometric Shapes,1,,,,,,,
17,Rectangle,Geometric Shapes,1,,,,,,,
18,Rectangle,Geometric Shapes,1,,56,,,,,Matrix display (32x8)
19,Text,Standard,1,,,,,,,Snooze / main btn
20,Text,Standard,1,,,,,,,2nd btn
21,Text,Standard,1,,,,,,,right dial
22,Text,Standard,1,,,,,,,left dial
23,Rectangle,Geometric Shapes,1,,,,,,,
24,Rectangle,Geometric Shapes,1,,,,,,,
25,Rectangle,Geometric Shapes,1,,57,,,,,
26,Rectangle,Geometric Shapes,1,,58,,,,,
27,Rectangle,Geometric Shapes,1,,,,,,,
28,ImageSearchBlock2,Standard,1,,,,,,,
29,Right Arrow,Geometric Shapes,1,,,,,,,
30,Right Arrow,Geometric Shapes,1,,,,,,,
31,Right Arrow,Geometric Shapes,1,,,,,,,
32,Right Arrow,Geometric Shapes,1,,,,,,,
33,Right Arrow,Geometric Shapes,1,,,,,,,
34,Right Arrow,Geometric Shapes,1,,,,,,,
35,Right Arrow,Geometric Shapes,1,,,,,,,
36,Text,Standard,1,,,,,,,Internal sensor wires
37,Rectangle,Geometric Shapes,1,,,,,,,Display
38,Line,,1,,56,18,18,None,None,
39,Line,,1,,56,18,18,None,None,
40,Line,,1,,57,25,25,None,None,
41,Line,,1,,57,25,25,None,None,
42,Line,,1,,57,25,25,None,None,
43,Line,,1,,57,25,25,None,None,
44,Line,,1,,58,26,26,None,None,
45,Line,,1,,58,26,26,None,None,
46,Line,,1,,58,26,26,None,None,
47,Line,,1,,58,26,26,None,None,
48,Line,,1,,,,34,None,Arrow,
49,Line,,1,,,,33,None,Arrow,
50,Line,,1,,,,35,None,Arrow,
51,Line,,1,,,,37,None,Arrow,
52,Group 1,,1,,,,,,,
53,Group 2,,1,,52,,,,,
54,Group 3,,1,,,,,,,
55,Group 4,,1,,,,,,,
56,Group 5,,1,,,,,,,
57,Group 6,,1,,,,,,,
58,Group 7,,1,,,,,,,